dataset_row	predicted_ccsd	xyz_path
1027	-3124.2658454098	Structures_reordered/structure1027.xyz
1028	-3124.2658422534	Structures_reordered/structure1028.xyz
1068	-3124.2658015364	Structures_reordered/structure1068.xyz
1099	-3124.2658465489	Structures_reordered/structure1099.xyz
1100	-3124.2658504870	Structures_reordered/structure1100.xyz
1101	-3124.2658515334	Structures_reordered/structure1101.xyz
1102	-3124.2658466876	Structures_reordered/structure1102.xyz
1103	-3124.2658419380	Structures_reordered/structure1103.xyz
1104	-3124.2658482746	Structures_reordered/structure1104.xyz
1105	-3124.2658478811	Structures_reordered/structure1105.xyz
1106	-3124.2658477417	Structures_reordered/structure1106.xyz
1107	-3124.2658437850	Structures_reordered/structure1107.xyz
1108	-3124.2658441547	Structures_reordered/structure1108.xyz
1109	-3124.2658490183	Structures_reordered/structure1109.xyz
1110	-3124.2658453600	Structures_reordered/structure1110.xyz
1111	-3124.2658473508	Structures_reordered/structure1111.xyz
1112	-3124.2658448742	Structures_reordered/structure1112.xyz
1113	-3124.2658419080	Structures_reordered/structure1113.xyz
1114	-3124.2658478933	Structures_reordered/structure1114.xyz
1115	-3124.2658444373	Structures_reordered/structure1115.xyz
1116	-3124.2658488845	Structures_reordered/structure1116.xyz
1117	-3124.2658454303	Structures_reordered/structure1117.xyz
1118	-3124.2658453303	Structures_reordered/structure1118.xyz
1265	-3124.2658482971	Structures_reordered/structure1265.xyz
1363	-3124.2658463111	Structures_reordered/structure1363.xyz
1372	-3124.2658439050	Structures_reordered/structure1372.xyz
1405	-3124.2658508115	Structures_reordered/structure1405.xyz
1429	-3124.2658493095	Structures_reordered/structure1429.xyz
1496	-3124.2658515856	Structures_reordered/structure1496.xyz
1520	-3124.2658478069	Structures_reordered/structure1520.xyz
1571	-3124.2658479451	Structures_reordered/structure1571.xyz
1574	-3124.2658473045	Structures_reordered/structure1574.xyz
1595	-3124.2658471065	Structures_reordered/structure1595.xyz
1645	-3124.2658532981	Structures_reordered/structure1645.xyz
1659	-3124.2658032426	Structures_reordered/structure1659.xyz
1724	-3124.2658489378	Structures_reordered/structure1724.xyz
1728	-3124.2658491319	Structures_reordered/structure1728.xyz
1787	-3124.2658133336	Structures_reordered/structure1787.xyz
1795	-3124.2658109300	Structures_reordered/structure1795.xyz
1835	-3124.2658421260	Structures_reordered/structure1835.xyz
1873	-3124.2658374453	Structures_reordered/structure1873.xyz
1911	-3124.2658475535	Structures_reordered/structure1911.xyz
1930	-3124.2658447070	Structures_reordered/structure1930.xyz
1932	-3124.2658435606	Structures_reordered/structure1932.xyz
1952	-3124.2658454333	Structures_reordered/structure1952.xyz
2181	-3124.2658491974	Structures_reordered/structure2181.xyz
2187	-3124.2658498315	Structures_reordered/structure2187.xyz
2193	-3124.2658438065	Structures_reordered/structure2193.xyz
2220	-3124.2658483921	Structures_reordered/structure2220.xyz
2233	-3124.2658477712	Structures_reordered/structure2233.xyz
2264	-3124.2658505184	Structures_reordered/structure2264.xyz
2374	-3124.2658419382	Structures_reordered/structure2374.xyz
2470	-3124.2658473973	Structures_reordered/structure2470.xyz
2477	-3124.2658529093	Structures_reordered/structure2477.xyz
2583	-3124.2658019215	Structures_reordered/structure2583.xyz
2712	-3124.2658474271	Structures_reordered/structure2712.xyz
2721	-3124.2658436357	Structures_reordered/structure2721.xyz
2763	-3124.2658469397	Structures_reordered/structure2763.xyz
2777	-3124.2658447308	Structures_reordered/structure2777.xyz
2821	-3124.2658477703	Structures_reordered/structure2821.xyz
2856	-3124.2658455631	Structures_reordered/structure2856.xyz
2858	-3124.2658436872	Structures_reordered/structure2858.xyz
2955	-3124.2658461860	Structures_reordered/structure2955.xyz
2960	-3124.2658421222	Structures_reordered/structure2960.xyz
3025	-3124.2658430223	Structures_reordered/structure3025.xyz
3102	-3124.2658436666	Structures_reordered/structure3102.xyz
3138	-3124.2658477811	Structures_reordered/structure3138.xyz
3178	-3124.2658426812	Structures_reordered/structure3178.xyz
3243	-3124.2658452017	Structures_reordered/structure3243.xyz
3303	-3124.2658479696	Structures_reordered/structure3303.xyz
3394	-3124.2658513861	Structures_reordered/structure3394.xyz
3507	-3124.2658493373	Structures_reordered/structure3507.xyz
3556	-3124.2658086630	Structures_reordered/structure3556.xyz
3578	-3124.2658429405	Structures_reordered/structure3578.xyz
3581	-3124.2658474410	Structures_reordered/structure3581.xyz
3588	-3124.2658474714	Structures_reordered/structure3588.xyz
3602	-3124.2658423966	Structures_reordered/structure3602.xyz
3664	-3124.2658424274	Structures_reordered/structure3664.xyz
3689	-3124.2658496470	Structures_reordered/structure3689.xyz
3758	-3124.2658522886	Structures_reordered/structure3758.xyz
3773	-3124.2658392256	Structures_reordered/structure3773.xyz
3834	-3124.2658482195	Structures_reordered/structure3834.xyz
3845	-3124.2658447591	Structures_reordered/structure3845.xyz
3866	-3124.2658472344	Structures_reordered/structure3866.xyz
3880	-3124.2658504291	Structures_reordered/structure3880.xyz
3910	-3124.2658520750	Structures_reordered/structure3910.xyz
3919	-3124.2658526898	Structures_reordered/structure3919.xyz
4105	-3124.2658456154	Structures_reordered/structure4105.xyz
4122	-3124.2658491444	Structures_reordered/structure4122.xyz
4135	-3124.2658475718	Structures_reordered/structure4135.xyz
4147	-3124.2658040638	Structures_reordered/structure4147.xyz
4166	-3124.2658467424	Structures_reordered/structure4166.xyz
4189	-3124.2658449329	Structures_reordered/structure4189.xyz
4229	-3124.2658458031	Structures_reordered/structure4229.xyz
4280	-3124.2658389036	Structures_reordered/structure4280.xyz
4302	-3124.2658499907	Structures_reordered/structure4302.xyz
4311	-3124.2658490419	Structures_reordered/structure4311.xyz
4381	-3124.2658520013	Structures_reordered/structure4381.xyz
4399	-3124.2658462263	Structures_reordered/structure4399.xyz
4407	-3124.2658509064	Structures_reordered/structure4407.xyz
4424	-3124.2658537314	Structures_reordered/structure4424.xyz
4573	-3124.2658531955	Structures_reordered/structure4573.xyz
4709	-3124.2658518405	Structures_reordered/structure4709.xyz
4714	-3124.2658453983	Structures_reordered/structure4714.xyz
4747	-3124.2658026813	Structures_reordered/structure4747.xyz
4748	-3124.2658500880	Structures_reordered/structure4748.xyz
4919	-3124.2658509792	Structures_reordered/structure4919.xyz
5037	-3124.2658496020	Structures_reordered/structure5037.xyz
5042	-3124.2658489919	Structures_reordered/structure5042.xyz
5048	-3124.2658512542	Structures_reordered/structure5048.xyz
5086	-3124.2658451558	Structures_reordered/structure5086.xyz
5105	-3124.2658137738	Structures_reordered/structure5105.xyz
5124	-3124.2658427356	Structures_reordered/structure5124.xyz
5132	-3124.2658414903	Structures_reordered/structure5132.xyz
5214	-3124.2658395323	Structures_reordered/structure5214.xyz
5224	-3124.2658475837	Structures_reordered/structure5224.xyz
5229	-3124.2658441088	Structures_reordered/structure5229.xyz
5244	-3124.2658452782	Structures_reordered/structure5244.xyz
5319	-3124.2658472662	Structures_reordered/structure5319.xyz
5354	-3124.2658512528	Structures_reordered/structure5354.xyz
5404	-3124.2658431074	Structures_reordered/structure5404.xyz
5412	-3124.2658440007	Structures_reordered/structure5412.xyz
5420	-3124.2658400428	Structures_reordered/structure5420.xyz
5467	-3124.2658460435	Structures_reordered/structure5467.xyz
5525	-3124.2658486800	Structures_reordered/structure5525.xyz
5543	-3124.2658488748	Structures_reordered/structure5543.xyz
5553	-3124.2658467845	Structures_reordered/structure5553.xyz
5584	-3124.2658404781	Structures_reordered/structure5584.xyz
5611	-3124.2658500843	Structures_reordered/structure5611.xyz
5659	-3124.2658478164	Structures_reordered/structure5659.xyz
5712	-3124.2658443186	Structures_reordered/structure5712.xyz
